drum_id,tree_id,ind_id,context,tree_all_id,species,n_buttresses,circumference,DBH_measure,DBH_calc,use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
039DR,029TR,MAS,resting,P29_02,CPR,3,260,79,82.76057041,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
040DR,029TR,FID,resting,P29_02,CPR,3,260,79,82.76057041,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
038DR,029TR,ALF,resting,P29_03,KIA,2,101,25,32.1492985,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
039DR,029TR,MAS,resting,P29_03,KIA,2,101,25,32.1492985,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
040DR,029TR,FID,resting,P29_03,KIA,2,101,25,32.1492985,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
038DR,029TR,ALF,resting,P29_04,AGU,5,308,98,98.03944494,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
039DR,029TR,MAS,resting,P29_04,AGU,5,308,98,98.03944494,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
040DR,029TR,FID,resting,P29_04,AGU,5,308,98,98.03944494,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
038DR,029TR,ALF,resting,P29_05,HG,9,,95,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
039DR,029TR,MAS,resting,P29_05,HG,9,,95,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
